Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,study_id,study type,response,shrub response,location,lat,lon,methods,drivers,driver regime,study species,n_species,study level,comment,source
J,"Hunt, S; Yu, ZC; Jones, M",,,,"Hunt, Stephanie; Yu, Zicheng; Jones, Miriam",,,"Lateglacial and Holocene climate, disturbance and permafrost peatland dynamics on the Seward Peninsula, western Alaska",QUATERNARY SCIENCE REVIEWS,,,,,,,,,,,,"Northern peatlands have accumulated large carbon (C) stocks, acting as a long-term atmospheric C sink since the last deglaciation. How these C-rich ecosystems will respond to future climate change, however, is still poorly understood. Furthermore, many northern peatlands exist in regions underlain by permafrost, adding to the challenge of projecting C balance under changing climate and permafrost dynamics. In this study, we used a paleoecological approach to examine the effect of past climates and local disturbances on vegetation and C accumulation at a peatland complex on the southern Seward Peninsula, Alaska over the past similar to 15 ka (1 ka = 1000 cal yr BP). We analyzed two cores about 30 m apart, NL10-1 (from a permafrost peat plateau) and NL10-2 (from an adjacent thermokarst collapse-scar bog), for peat organic matter (OM), C accumulation rates, macrofossil, pollen and grain size analysis. A wet rich fen occurred during the initial stages of peatland development at the thermokarst site (NL10-2). The presence of tree pollen from Picea spp. and Larix laricinia at 13.5-12.1 ka indicates a warm regional climate, corresponding with the well-documented Bolling-Allerod warm period. A cold and dry climate interval at 12.1-11.1 ka is indicated by the disappearance of tree pollen and increase in Poaceae pollen and an increase in woody material, likely representing a local expression of the Younger Dryas (YD) event. Following the YD, the warm Holocene Thermal Maximum (HTM) is characterized by the presence of Populus pollen, while the presence of Sphagnum spp. and increased C accumulation rates suggest high peatland productivity under a warm climate. Toward the end of the HTM and throughout the mid-Holocene a wet climate-induced several major flooding disturbance events at 10 ka, 8.1 ka, 6 ka, 5.4 ka and 4.7 ka, as evidenced by decreases in OM, and increases in coarse sand abundance and aquatic fossils (algae Chara and water fleas Daphnia). The initial peatland at permafrost site (NL10-1) is characterized by rapid C accumulation (66 g C m(-2) yr(-1)), high OM content and a peak in Sphagnum spp. at 5.8-4.6 ka, suggesting the lack of permafrost. A transition to extremely low C accumulation rates of 6.3 g C m(-2) yr(-1) after 4.5 ka at this site suggests the onset of permafrost aggradation, likely in response to Neoglacial climate cooling as documented across the circum-Arctic region. A similar decrease in C accumulation rates also occurred at non-permafrost site NL10-2. Time-weighted C accumulation rates are 21.8 g C m(-2) yr(-1) for core NL10-1 during the last similar to 6.5 ka and 14.8 g C m(-2) yr(-1) for core NL10-2 during the last similar to 15 ka. Evidence from peat-core analysis and historical aerial photographs shows an abrupt increase in Sphagnum spp. and decrease in area of thermokarst lakes over the last century, suggesting major changes in hydrology and ecosystem structure, likely due to recent climate warming. Our results show that the thermokarst-permafrost complex was much more dynamic with high C accumulation rates under warmer climates in the past, while permafrost was stabilized and C accumulation slowed down following the Neoglacial cooling in the late Holocene. Furthermore, permafrost presence at local scales is controlled by both regional climate and site-specific factors, highlighting the challenge in projecting responses of permafrost peatlands and their C dynamics to future climate change. (c) 2012 Elsevier Ltd. All rights reserved.",,,,"Yu, Zicheng/D-4108-2012","Jones, Miriam/0000-0002-6650-7619",,,,,,,,,,,,0277-3791,,,,,MAR 1,2013,63,,,,,,42,58,,10.1016/j.quascirev.2012.11.019,,,,,,,WOS:000316043400003,,,,,09/09/2020,297,empirical,historical climate and vegetation dynamics,,,,,,,,,,,,WOS search
J,"Luus, KA; Gel, Y; Lin, JC; Kelly, REJ; Duguay, CR",,,,"Luus, K. A.; Gel, Y.; Lin, J. C.; Kelly, R. E. J.; Duguay, C. R.",,,"Pan-Arctic linkages between snow accumulation and growing-season air temperature, soil moisture and vegetation",BIOGEOSCIENCES,,,,,,,,,,,,"Arctic field studies have indicated that the air temperature, soil moisture and vegetation at a site influence the quantity of snow accumulated, and that snow accumulation can alter growing-season soil moisture and vegetation. Climate change is predicted to bring about warmer air temperatures, greater snow accumulation and northward movements of the shrub and tree lines. Understanding the responses of northern environments to changes in snow and growing-season land surface characteristics requires: (1) insights into the present-day linkages between snow and growing-season land surface characteristics; and (2) the ability to continue to monitor these associations over time across the vast pan-Arctic. The objective of this study was therefore to examine the pan-Arctic (north of 60 degrees N) linkages between two temporally distinct data products created from AMSR-E satellite passive microwave observations: GlobSnow snow water equivalent (SWE), and NTSG growing-season AMSR-E Land Parameters (air temperature, soil moisture and vegetation transmissivity). Due to the complex and interconnected nature of processes determining snow and growing-season land surface characteristics, these associations were analyzed using the modern nonparametric technique of alternating conditional expectations (ACE), as this approach does not impose a predefined analytic form. Findings indicate that regions with lower vegetation transmissivity (more biomass) at the start and end of the growing season tend to accumulate less snow at the start and end of the snow season, possibly due to interception and sublimation. Warmer air temperatures at the start and end of the growing season were associated with diminished snow accumulation at the start and end of the snow season. High latitude sites with warmer mean annual growing-season temperatures tended to accumulate more snow, probably due to the greater availability of water vapor for snow season precipitation at warmer locations. Regions with drier soils preceding snow onset tended to accumulate greater quantities of snow, likely because drier soils freeze faster and more thoroughly than wetter soils. Understanding and continuing to monitor these linkages at the regional scale using the ACE approach can allow insights to be gained into the complex response of Arctic ecosystems to climate-driven shifts in air temperature, vegetation, soil moisture and snow accumulation.",,,,,"Lin, John/0000-0003-2794-184X; Kelly, Richard/0000-0001-8076-7604",,,,,,,,,,,,1726-4170,1726-4189,,,,,2013,10,11,,,,,7575,7597,,10.5194/bg-10-7575-2013,,,,,,,WOS:000327814700055,,,,,09/09/2020,298,empirical,snow cover patterns,,,,,,,,,,,,WOS search
J,"Zibulski, R; Herzschuh, U; Pestryakova, LA; Wolter, J; Muller, S; Schilling, N; Wetterich, S; Schirrmeister, L; Tian, F",,,,"Zibulski, R.; Herzschuh, U.; Pestryakova, L. A.; Wolter, J.; Mueller, S.; Schilling, N.; Wetterich, S.; Schirrmeister, L.; Tian, F.",,,River flooding as a driver of polygon dynamics: modern vegetation data and a millennial peat record from the Anabar River lowlands (Arctic Siberia),BIOGEOSCIENCES,,,,,,,,,,,,"The spatial and temporal variability of a low-centred polygon on the eastern floodplain area of the lower Anabar River (72.070 degrees N, 113.921 degrees E; northern Yakutia, Siberia) has been investigated using a multi-method approach. The present-day vegetation in each square metre was analysed, revealing a community of Larix, shrubby Betula, and Salix on the polygon rim, a dominance of Carex and Andromeda polifolia in the rim-to-pond transition zone, and a predominantly monospecific Scorpidium scorpioides coverage within the pond. The total organic carbon (TOC) content, TOC/TN (total nitrogen) ratio, grain size, vascular plant macrofossils, moss remains, diatoms, and pollen were analysed for two vertical sections and a sediment core from a transect across the polygon. Radiocarbon dating indicates that the formation of the polygon started at least 1500 yr ago; the general positions of the pond and rim have not changed since that time. Two types of pond vegetation were identified, indicating two contrasting development stages of the polygon. The first was a well-established moss association, dominated by submerged or floating Scorpidium scorpioides and/or Drepanocladus spp. and overgrown by epiphytic diatoms such as Tabellaria flocculosa and Eunotia taxa. This stage coincides temporally with a period in which the polygon was only drained by lateral subsurface water flow, as indicated by mixed grain sizes. A different moss association occurred during times of repeated river flooding (indicated by homogeneous medium-grained sand that probably accumulated during the annual spring snowmelt), characterized by an abundance of Meesia triquetra and a dominance of benthic diatoms (e. g. Navicula vulpina), indicative of a relatively high pH and a high tolerance of disturbance. A comparison of the local polygon vegetation (inferred from moss and macrofossil spectra) with the regional vegetation (inferred from pollen spectra) indicated that the moss association with Scorpidium scorpioides became established during relatively favourable climatic conditions, while the association dominated by Meesia triquetra occurred during periods of harsh climatic conditions. Our study revealed a strong riverine influence (in addition to climatic influences) on polygon development and the type of peat accumulated.",,,,"Schirrmeister, Lutz/O-5584-2015; Wetterich, Sebastian/AAD-6569-2019","Schirrmeister, Lutz/0000-0001-9455-0596; Herzschuh, Ulrike/0000-0003-0999-1261; Wolter, Juliane/0000-0001-6179-7621",,,,,,,,,,,,1726-4170,1726-4189,,,,,2013,10,8,,,,,5703,5728,,10.5194/bg-10-5703-2013,,,,,,,WOS:000323980300033,,,,,09/09/2020,299,empirical,historical and recent riverbank succession dynamics and peat accumulation,cover,"Northern Yakutia, RU",72.07,113.921,vegetation surveys,water level; permafrost,abiotic,Betula nana; Salix sp.; Dryas punctata; Andromeda polifolia; Acrtostaphylos alpinus; Rhododendron tomentosum; Vaccinium sp.,8,community,,WOS search
J,"Oksanen, T; Oksanen, L; Soderbacka, G; Hoset, KS; Ruffino, L; Tuomi, M",,,,"Oksanen, Tarja; Oksanen, Lauri; Soderbacka, Gunnar; Hoset, Katrine S.; Ruffino, Lise; Tuomi, Maria",,,Impact of marine-subsidized predators on lemming-plant oscillations,EVOLUTIONARY ECOLOGY RESEARCH,,,,,,,,,,,,"Questions: Assuming that arctic lemming oscillations are generated by interactions between lemmings and depletable plants, how should these oscillations change in response to varying densities of marine-subsidized predators and differences in the production of herbaceous forage? Are the patterns thus generated consistent with existing data? Features of the model: Rosenzweig-type predator-prey model, with lemmings interacting with depletable plants and herbaceous plants. The impact of marine-subsidized predators is included as an extra mortality factor, influencing lemmings in summer. Ranges of parameters: We set the carrying capacity of depletable plants at 2000 kg.ha(-1). We used carrying capacities for herbaceous plants of 1000 kg.ha(-1) (grassland/meadow) and 100 kg.ha(-1) (heath). In the absence of predation, we assume that the population growth rate of lemmings in summer is zero when their foraging rate is 44% of the saturation rate. In subsequent simulations, we successively increased the foraging rate required for a zero population growth rate to simulate the impact of a successively larger pool of marine-subsidized predators. Predictions: On grassland/meadow tundra, increasing intensity of summer predation reduces the amplitude and period of lemming and plant oscillations and increases the minimum and average density of lemmings and depletable plants. The predicted predator-lemming relationship is thus mutualistic rather than exploitative. In heath-type tundra, the predicted positive impact of summer predation on lemmings is even stronger because, without intense summer predation, the predicted oscillations are violent enough to lead to local extinctions. In tundra areas with such dynamics, natural selection should favour lemmings that react to high population densities by emigrating.",,,,"Hoset, Katrine S./A-5090-2010","Hoset, Katrine S./0000-0002-1371-012X",,,,,,,,,,,,1522-0613,1937-3791,,,,JAN,2013,15,1,,,,,1,24,,,,,,,,,WOS:000322366100001,,,,,09/09/2020,300,empirical,lemming population dynamics,,,,,,,,,,,,WOS search
J,"Lantz, TC; Marsh, P; Kokelj, SV",,,,"Lantz, Trevor C.; Marsh, Philip; Kokelj, Steven V.",,,Recent Shrub Proliferation in the Mackenzie Delta Uplands and Microclimatic Implications,ECOSYSTEMS,,,,,,,,,,,,"Local observations, repeat photos, and broad-scale remote sensing suggest that tall shrubs are becoming an increasingly dominant component of Low Arctic ecosystems. This shift has the potential to alter the surface energy balance through changes to the surface albedo, snow accumulation and melt, and ground thermal regimes. However, to date there have been few quantitative estimates of the rate of tall shrub expansion. We used soft copy stereo visualization of air photos to map fine-scale changes in tall shrub tundra and green alder density in the upland tundra north of Inuvik, NT between 1972 and 2004. We also used 2004 photos to map tall shrub tundra in areas affected by fires that occurred between 1960 and 1968. To assess the potential impact of vegetation change on microclimate, we used pyranometers to measure albedo and net solar radiation, thermistors attached to data loggers to record ground temperatures, and field surveys to record winter snow conditions in three common vegetation types. Fine-scale mapping shows that green alder stem density has increased by 68% (+/- 24.1) since 1972. Average tall shrub tundra cover has also increased by 15% (+/- 3.6) since 1972. Historical tundra fires had the highest proportion of tall shrub cover of all areas mapped using 2004 photos, ranging from 92 to 99%. Based on these results, we suggest that predicted increases in the size and frequency of tundra fire are likely to drive rapid shrub proliferation in the Low Arctic. Shrub-dominated sites have decreased albedo, increased net solar radiation, deeper snow pack, and elevated near-surface ground temperatures, indicating that continued increases in shrub cover will affect regional climate, hydrology, permafrost temperatures, and terrain stability.",,,,"Lantz, Trevor/J-1163-2014",,,,,,,,,,,,,1432-9840,1435-0629,,,,JAN,2013,16,1,,,,,47,59,,10.1007/s10021-012-9595-2,,,,,,,WOS:000314024900004,,,,,09/09/2020,301,empirical,shrub expansion,cover change,"Nunavik, CA",133.5,-168.75,remote sensing,temperature; fire,abiotic,Alnus viridis,unknown,landscape,,WOS search
J,"Cahoon, SMP; Sullivan, PF; Shaver, GR; Welker, JM; Post, E",,,,"Cahoon, Sean M. P.; Sullivan, Patrick F.; Shaver, Gaius R.; Welker, Jeffrey M.; Post, Eric",,,Interactions among shrub cover and the soil microclimate may determine future Arctic carbon budgets,ECOLOGY LETTERS,,,,,,,,,,,,"Arctic and Boreal terrestrial ecosystems are important components of the climate system because they contain vast amounts of soil carbon (C). Evidence suggests that deciduous shrubs are increasing in abundance, but the implications for ecosystem C budgets remain uncertain. Using midsummer CO2 flux data from 21 sites spanning 16 degrees of latitude in the Arctic and Boreal biomes, we show that air temperature explains c. one-half of the variation in ecosystem respiration (ER) and that ER drives the pattern in net ecosystem CO2 exchange across ecosystems. Woody sites were slightly stronger C sinks compared with herbaceous communities. However, woody sites with warm soils similar to 10 similar to C) were net sources of CO2, whereas woody sites with cold soils similar to 10 similar to C) were strong sinks. Our results indicate that transition to a shrub-dominated Arctic will increase the rate of C cycling, and may lead to net C loss if soil temperatures rise.",,,,"Welker, Jeffrey/C-9493-2013","Sullivan, Patrick/0000-0002-8015-3036",,,,,,,,,,,,1461-023X,1461-0248,,,,DEC,2012,15,12,,,,,1415,1422,,10.1111/j.1461-0248.2012.01865.x,,,,,,,WOS:000310250600008,22938383,,,,09/09/2020,302,empirical,carbon fluxes,,,,,,,,,,,,WOS search
J,"Kaarlejarvi, E; Baxter, R; Hofgaard, A; Hytteborn, H; Khitun, O; Molau, U; Sjogersten, S; Wookey, P; Olofsson, J",,,,"Kaarlejarvi, Elina; Baxter, Robert; Hofgaard, Annika; Hytteborn, Hakan; Khitun, Olga; Molau, Ulf; Sjoegersten, Sofie; Wookey, Philip; Olofsson, Johan",,,Effects of Warming on Shrub Abundance and Chemistry Drive Ecosystem-Level Changes in a Forest-Tundra Ecotone,ECOSYSTEMS,,,,,,,,,,,,"Tundra vegetation is responding rapidly to on-going climate warming. The changes in plant abundance and chemistry might have cascading effects on tundra food webs, but an integrated understanding of how the responses vary between habitats and across environmental gradients is lacking. We assessed responses in plant abundance and plant chemistry to warmer climate, both at species and community levels, in two different habitats. We used a long-term and multisite warming (OTC) experiment in the Scandinavian forest-tundra ecotone to investigate (i) changes in plant community composition and (ii) responses in foliar nitrogen, phosphorus, and carbon-based secondary compound concentrations in two dominant evergreen dwarf-shrubs (Empetrum hermaphroditum and Vaccinium vitis-idaea) and two deciduous shrubs (Vaccinium myrtillus and Betula nana). We found that initial plant community composition, and the functional traits of these plants, will determine the responsiveness of the community composition, and thus community traits, to experimental warming. Although changes in plant chemistry within species were minor, alterations in plant community composition drive changes in community-level nutrient concentrations. In view of projected climate change, our results suggest that plant abundance will increase in the future, but nutrient concentrations in the tundra field layer vegetation will decrease. These effects are large enough to have knock-on consequences for major ecosystem processes like herbivory and nutrient cycling. The reduced food quality could lead to weaker trophic cascades and weaker top down control of plant community biomass and composition in the future. However, the opposite effects in forest indicate that these changes might be obscured by advancing treeline forests.",,,,"Hytteborn, Hakan/J-7453-2012; Wookey, Philip/AAA-6271-2020; Khitun, Olga/J-6169-2013; Baxter, Robert/C-7688-2012; Olofsson, Johan/A-9362-2009","Wookey, Philip/0000-0001-5957-6424; Baxter, Robert/0000-0002-7504-6797; ",,,,,,,,,,,,1432-9840,1435-0629,,,,DEC,2012,15,8,,,,,1219,1233,,10.1007/s10021-012-9580-9,,,,,,,WOS:000312143300001,,,,,09/09/2020,303,empirical,shrub expansion,abundance; chemistry,Northern Fennoscandia,69.75,23.99,vegetation surveys; branch collection,temperature; vegetation type; continentality,biotic; abiotic,Empetrum nigrum; Betula nana; Vaccinium myrtillus; Vaccinium vitis-idaea,4,species,,WOS search
J,"Ekrtova, E; Kosnar, J",,,,"Ekrtova, Ester; Kosnar, Jan",,,Habitat-related variation in seedling recruitment of Gentiana pannonica,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,,,,,,,,,,,,"Differences in seedling recruitment of Gentiana pannonica were investigated between the primary (relict) and the secondary (semi-natural) forest-free habitats of the Bohemian Forest (870-1200 m a.s.l.) and of the Alps (1045-1935 m a.s.l.) to understand the factors promoting the seedling recruitment of G. pannonica and their importance for species distribution, population structure, and conservation. In the communities with adult plants of G. pannonica, we recorded environmental variables (the slope, the altitude, and the covers of bare ground, litter, and rocks), estimated parameters of the vegetation (the covers of herbs, bryophytes, and dwarf shrubs), and counted the seedlings of G. pannonica. In a field experiment, we investigated seedling survival under different soil moisture regimes. We also observed seasonal dynamics of seedling recruitment in permanent plots over the course of three years. In the primary habitats of both regions, G. pannonica grew in a relatively wide range of communities, and its seedlings occurred in each area. In the secondary habitats of the Bohemian Forest, a very low frequency of the seedlings was recorded. The number of seedlings increased with the covers of the moss layer and of bare soil and decreased with the cover of the herb layer, especially of graminoids. The seedling mortality was significantly lower in the plots with higher soil moistures, and the emergence of new-born seedlings was concentrated in the spring season, when the soil received a high water supply due to melting of snow. For the successful generative reproduction of G. pannonica, our findings highlight the critical importance of the microsites with low levels of competition and of sufficient soil moisture G. pannonica. It seems that because of the long-term lack of grazing disturbances, the structures of the secondary habitats of G. pannonica in the Bohemian Forest have become unfavourable for seedling establishment and generative reproduction of this threatened species. (C) 2012 Elsevier Masson SAS. All rights reserved.",,,,,,,,,,,,,,,,,1146-609X,1873-6238,,,,NOV,2012,45,,,,,,88,97,,10.1016/j.actao.2012.10.003,,,,,,,WOS:000312514400011,,,,,09/09/2020,304,empirical,alpine herb recruitment,,,,,,,,,,,,WOS search
J,"Henry, GHR; Harper, KA; Chen, WJ; Deslippe, JR; Grant, RF; Lafleur, PM; Levesque, E; Siciliano, SD; Simard, SW",,,,"Henry, Gregory H. R.; Harper, Karen A.; Chen, Wenjun; Deslippe, Julie R.; Grant, Robert F.; Lafleur, Peter M.; Levesque, Esther; Siciliano, Steven D.; Simard, Suzanne W.",,,Effects of observed and experimental climate change on terrestrial ecosystems in northern Canada: results from the Canadian IPY program,CLIMATIC CHANGE,,,,,,,,,,,,"Tundra and taiga ecosystems comprise nearly 40 % of the terrestrial landscapes of Canada. These permafrost ecosystems have supported humans for more than 4500 years, and are currently home to ca. 115,000 people, the majority of whom are First Nations, Inuit and M,tis. The responses of these ecosystems to the regional warming over the past 30-50 years were the focus of four Canadian IPY projects. Northern residents and researchers reported changes in climate and weather patterns and noted shifts in vegetation and other environmental variables. In forest-tundra areas tree growth and reproductive effort correlated with temperature, but seedling establishment was often hindered by other factors resulting in site-specific responses. Increased shrub cover has occurred in sites across the Arctic at the plot and landscape scale, and this was supported by results from experimental warming. Experimental warming increased vegetation cover and nutrient availability in most tundra soils; however, resistance to warming was also found. Soil microbial diversity in tundra was no different than in other biomes, although there were shifts in mycorrhizal diversity in warming experiments. All sites measured were sinks for carbon during the growing season, with expected seasonal and latitudinal patterns. Modeled responses of a mesic tundra system to climate change showed that the sink status will likely continue for the next 50-100 years, after which these tundra systems will likely become a net source of carbon dioxide to the atmosphere. These IPY studies were the first comprehensive assessment of the state and change in Canadian northern terrestrial ecosystems and showed that the inherent variability in these systems is reflected in their site-specific responses to changes in climate. They also showed the importance of using local traditional knowledge and science, and provided extensive data sets, sites and researchers needed to study and manage the inevitable changes in the Canadian North.",,,,"Siciliano, Steven/G-3370-2011; Harper, Karen/R-4735-2019","Deslippe, Julie/0000-0003-0511-9062; Siciliano, Steven/0000-0002-8994-3341; Grant, Robert/0000-0002-8890-6231; Harper, Karen/0000-0001-5390-0262",,,,,,,,,,,,0165-0009,1573-1480,,,,NOV,2012,115,1,,,SI,,207,234,,10.1007/s10584-012-0587-1,,,,,,,WOS:000309866900010,,,,,09/09/2020,305,review,vegetation change,cover change,"Canadian Arctic, CA",,,,,,,,,,WOS search
J,"Pajunen, A; Virtanen, R; Roininen, H",,,,"Pajunen, Adela; Virtanen, Risto; Roininen, Heikki",,,Browsing-mediated shrub canopy changes drive composition and species richness in forest-tundra ecosystems,OIKOS,,,,,,,,,,,,"Changes in climate and in browsing pressure are expected to alter the abundance of tundra shrubs thereby influencing the composition and species richness of plant communities. We investigated the associations between browsing, tundra shrub canopies and their understory vegetation by utilizing a long-term (1013 seasons) experiment controlling reindeer and ptarmigan herbivory in the subarctic forest tundra ecotone in northwestern Fennoscandia. In this area, there has also been a consistent increase in the yearly thermal sum and precipitation during the study period. The cover of shrubs increased 2.87.8 fold in exclosures and these contrasted with browsed control areas creating a sharp gradient of canopy cover of tundra shrubs across a variety of vegetation types. Browsing exclusions caused significant shifts in more productive vegetation types, whereas little or no shift occurred in low-productive tundra communities. The increased deciduous shrub cover was associated with significant losses of understory plant species and shifts in functional composition, the latter being clearest in the most productive plant community types. The total cover of understory vegetation decreased along with increasing shrub cover, while the cover of litter showed the opposite response. The cover of cryptogams decreased along with increasing shrub cover, while the cover of forbs was favoured by a shrub cover. Increasing shrub cover decreased species richness of understory vegetation, which was mainly due to the decrease in the cryptogam species. The effects were consistent across different types of forest tundra vegetation indicating that shrub increase may have broad impacts on arctic vegetation diversity. Deciduous shrub cover is strongly regulated by reindeer browsing pressure and altered browsing pressure may result in a profound shrub expansion over the next one or two decades. Results suggest that the impact of an increase in shrubs on tundra plant richness is strong and browsing pressure effectively counteracts the effects of climate warming-driven shrub expansion and hence maintains species richness.",,,,"Virtanen, Risto/G-1810-2010","Virtanen, Risto/0000-0002-8295-8217",,,,,,,,,,,,0030-1299,1600-0706,,,,OCT,2012,121,10,,,,,1544,1552,,10.1111/j.1600-0706.2011.20115.x,,,,,,,WOS:000308634600005,,,,,09/09/2020,306,empirical,vegetation change,cover,"Mt Muotkantakka, FI",69.117,20.75,herbivore exclusion; vegetation surveys,herbivory; vegetation type,biotic,,unknown,community,,WOS search
J,"Dutrieux, LP; Bartholomeus, H; Herold, M; Verbesselt, J",,,,"Dutrieux, L. P.; Bartholomeus, H.; Herold, M.; Verbesselt, J.",,,"Relationships between declining summer sea ice, increasing temperatures and changing vegetation in the Siberian Arctic tundra from MODIS time series (2000-11)",ENVIRONMENTAL RESEARCH LETTERS,,,,,,,,,,,,"The concern about Arctic greening has grown recently as the phenomenon is thought to have significant influence on global climate via atmospheric carbon emissions. Earlier work on Arctic vegetation highlighted the role of summer sea ice decline in the enhanced warming and greening phenomena observed in the region, but did not contain enough details for spatially characterizing the interactions between sea ice, temperature and vegetation photosynthetic absorption. By using 1 km resolution data from the Moderate Resolution Imaging Spectrometer (MODIS) as a primary data source, this study presents detailed maps of vegetation and temperature trends for the Siberian Arctic region, using the time integrated normalized difference vegetation index (TI-NDVI) and summer warmth index (SWI) calculated for the period 2000-11 to represent vegetation greenness and temperature respectively. Spatio-temporal relationships between the two indices and summer sea ice conditions were investigated with transects at eight locations using sea ice concentration data from the Special Sensor Microwave/Imager (SSM/I). In addition, the derived vegetation and temperature trends were compared among major Arctic vegetation types and bioclimate subzones. The fine resolution trend map produced confirms the overall greening (+1% yr(-1)) and warming (+0.27% yr(-1)) of the region, reported in previous studies, but also reveals browning areas. The causes of such local decreases in vegetation, while surrounding areas are experiencing the opposite reaction to changing conditions, are still unclear. Overall correlations between sea ice concentration and SWI as well as TI-NDVI decreased in strength with increasing distance from the coast, with a particularly pronounced pattern in the case of SWI. SWI appears to be driving TI-NDVI in many cases, but not systematically, highlighting the presence of limiting factors other than temperature for plant growth in the region. Further unravelling those limiting factors constitutes a priority in future research. This study demonstrates the use of medium resolution remotely sensed data for studying the complexity of spatio-temporal vegetation dynamics in the Arctic.",,,,"Verbesselt, Jan/B-9044-2012; Herold, Martin/F-8553-2012","Verbesselt, Jan/0000-0001-7923-4309; Herold, Martin/0000-0003-0246-6886; Dutrieux, Loic/0000-0002-5058-2526",,,,,,,,,,,,1748-9326,,,,,OCT-DEC,2012,7,4,,,,,,,44028,10.1088/1748-9326/7/4/044028,,,,,,,WOS:000312696400032,,,,,09/09/2020,307,empirical,vegetation productivity,productivity,"Siberian Arctic, RU",,,remote sensing,sea ice concentration,abiotic,,unknown,landscape,,WOS search
J,"Brummell, ME; Farrell, RE; Siciliano, SD",,,,"Brummell, Martin E.; Farrell, Richard E.; Siciliano, Steven D.",,,Greenhouse gas soil production and surface fluxes at a high arctic polar oasis,SOIL BIOLOGY & BIOCHEMISTRY,,,,,,,,,,,,"Arctic vegetation and soil biological communities interact with a range of biotic and abiotic factors to produce or consume the greenhouse gases (GHG) carbon dioxide, methane, and nitrous oxide. In Arctic environments the parameters controlling these processes are not well understood. We measured soil GHG concentrations and surface fluxes from six vegetation communities at a High Arctic polar oasis and adjacent polar deserts in order to identify regions within the soil profile of production and consumption of CO2, CH4, and N2O. Examined communities included two polar deserts differing in parent material and soil pH, and four lowland tundra communities: prostrate dwarf-shrub, herb tundra, prostrate/hemiprostrate dwarf-shrub tundra, nontussock sedge, dwarf-shrub, moss tundra and a sedge/grass, moss wetland, representative of large areas at lower Arctic latitudes. Polar desert soils were net producers of greenhouse gases during the brief High Arctic growing season, including at depths close to the permafrost layer, and effluxes from the surface were of a similar magnitude to nearby mesic and hydric tundra soils including for CO2, indicative of soil respiration in desert soils with few roots. Differences in water content, rather than calculated diffusivity, appear to drive gas transport in at least some soils, with all three GHG appearing to move rapidly through, for example, the soil at 10 cm above permafrost in the Prostrate (dominated by Dryas integrifolia) plant community. Such physical processes may obscure or falsely suggest biological processes in soil ecosystems. (C) 2012 Published by Elsevier Ltd.",,,,"Brummell, Martin/X-3104-2019; Siciliano, Steven/G-3370-2011","Siciliano, Steven/0000-0002-8994-3341; Farrell, Richard/0000-0001-6365-3939; Brummell, Martin/0000-0002-2215-1390",,,,,,,,,,,,0038-0717,,,,,SEP,2012,52,,,,,,1,12,,10.1016/j.soilbio.2012.03.019,,,,,,,WOS:000305660900001,,,,,09/09/2020,308,empirical,ecosystem respiration,,,,,,,,,,,,WOS search
J,"Palmer, MJ; Burn, CR; Kokelj, SV",,,,"Palmer, M. J.; Burn, C. R.; Kokelj, S. V.",,,"Factors influencing permafrost temperatures across tree line in the uplands east of the Mackenzie Delta, 2004-2010",CANADIAN JOURNAL OF EARTH SCIENCES,,,,,,,,,,,,"Air and near-surface ground temperatures, late-winter snow conditions, and characteristics of the vegetation cover and soil were measured across the forest-tundra transition in the uplands east of the Mackenzie Delta, Northwest Territories, in 2004-2010. Mean late-winter snow depth decreased northward from 73 cm in the subarctic boreal forest near Inuvik to 22 cm in low-shrub tundra. Annual near-surface ground temperatures decreased northward by 0.1-0.3 degrees C/km near the northern limit of trees, in association with an abrupt change in snow depth. The rate decreased to 0.01-0.06 degrees C/km in the tundra. The freezing season is twice as long as the thawing season in the region, so measured differences in the regional ground thermal regime were dominated by the contrast in winter surface conditions between forest and tundra.",,,,,,,,,,,,,,,,,0008-4077,1480-3313,,,,AUG,2012,49,8,,,,,877,894,,10.1139/E2012-002,,,,,,,WOS:000306326400003,,,,,09/09/2020,309,empirical,permafrost dynamics,,,,,,,,,,,,WOS search
